name,calories,protein,carbs,fat,sugar,sodium,saturated_fat,fiber
"EGG,WHOLE,DRIED",594.0,35.62,4.95,40.95,3.08,523.0,12.727,0.0
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351.0,35.62,4.17,0.04,4.17,1156.0,0.0,0.0
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376.0,35.62,4.47,0.04,4.47,1238.0,0.0,0.0
"EGG,YOLK,DRIED",666.0,34.25,3.6,55.8,3.6,135.0,17.154,0.0
"EGG,DUCK,WHOLE,FRESH,RAW",185.0,12.81,1.45,13.77,0.93,146.0,3.681,0.0
"EGG,GOOSE,WHOLE,FRESH,RAW",185.0,13.87,1.35,13.27,0.94,138.0,3.595,0.0
"EGG,QUAIL,WHOLE,FRESH,RAW",158.0,13.05,0.41,11.09,0.4,141.0,3.557,0.0
"EGG SUBSTITUTE,POWDER",444.0,35.62,21.8,13.0,21.8,800.0,3.766,0.0
"BUTTER,WITHOUT SALT",717.0,0.85,0.06,81.11,0.06,11.0,28.470739999999992,0.0
"CHEESE,PARMESAN,SHREDDED",415.0,35.62,3.41,27.34,0.9,1696.0,17.37,0.0
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,4.96,0.08,5.09,42.0,0.051,0.0
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362.0,35.62,51.98,0.77,51.98,535.0,0.499,0.0
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358.0,35.1,52.19,0.72,52.19,549.0,0.47,0.0
"CHEESE,GOAT,HARD TYPE",452.0,30.52,2.17,35.59,2.17,346.0,24.609,0.0
"CHEESE,GOAT,SEMISOFT TYPE",364.0,21.58,2.54,29.84,2.54,515.0,20.639,0.0
"CHEESE,GOAT,SOFT TYPE",268.0,18.52,0.89,21.08,0.89,368.0,14.575,0.0
"CHEESE SUB,MOZZARELLA",248.0,11.47,23.67,12.22,23.67,685.0,3.711,0.0
"CHEESE SAU,PREP FROM RECIPE",197.0,10.33,5.48,14.92,0.19,493.0,8.034,0.0
"CHEESE,MEXICAN,QUESO ANEJO",373.0,21.44,4.63,29.98,4.63,1131.0,19.033,0.0
"CHEESE,MEXICAN,QUESO ASADERO",356.0,22.6,2.87,28.26,2.87,655.0,17.939,0.0
"CHEESE,MEXICAN,QUESO CHIHUAHUA",374.0,21.56,5.56,29.68,5.56,617.0,18.843,0.0
"CHEESE,LOFAT,CHEDDAR OR COLBY",173.0,24.35,1.91,7.0,0.52,612.0,4.342,0.0
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398.0,24.35,1.91,32.62,0.49,21.0,20.768,0.0
"EGG,WHITE,DRIED",382.0,35.62,7.8,0.0,5.4,1280.0,0.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50.0,3.3,4.8,1.98,5.06,47.0,1.257,0.0
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42.0,3.37,4.99,0.97,5.2,44.0,0.633,0.0
"SOUR CREAM,REDUCED FAT",181.0,7.0,7.0,14.1,0.3,70.0,8.7,0.0
"SOUR CREAM,LIGHT",138.0,3.5,7.1,10.6,0.22,71.0,6.6,0.0
"SOUR CREAM,FAT FREE",74.0,3.1,15.6,0.0,0.39,141.0,0.0,0.0
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282.0,27.2,2.0,18.3,0.58,725.0,11.58,0.0
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43.0,3.86,7.5,0.18,7.5,59.0,0.116,0.0
